CODE	ADRESA	ROK	BARCODE
719JV27871	OPG Joško Veža, Blatnice 3, 21 335 Brist	06/2020	
719JV27872	OPG Joško Veža, Blatnice 3, 21 335 Brist	06/2020	
719JV27873	OPG Joško Veža, Blatnice 3, 21 335 Brist	06/2020	
719JV27874	OPG Joško Veža, Blatnice 3, 21 335 Brist	06/2020	
719JV27875	OPG Joško Veža, Blatnice 3, 21 335 Brist	06/2020	
719JV27876	OPG Joško Veža, Blatnice 3, 21 335 Brist	06/2020	
719JV27877	OPG Joško Veža, Blatnice 3, 21 335 Brist	06/2020	
719JV27878	OPG Joško Veža, Blatnice 3, 21 335 Brist	06/2020	
719JV27879	OPG Joško Veža, Blatnice 3, 21 335 Brist	06/2020	
719JV27880	OPG Joško Veža, Blatnice 3, 21 335 Brist	06/2020	
719JV27881	OPG Joško Veža, Blatnice 3, 21 335 Brist	06/2020	
719JV27882	OPG Joško Veža, Blatnice 3, 21 335 Brist	06/2020	
719JV27883	OPG Joško Veža, Blatnice 3, 21 335 Brist	06/2020	
719JV27884	OPG Joško Veža, Blatnice 3, 21 335 Brist	06/2020	
719JV27885	OPG Joško Veža, Blatnice 3, 21 335 Brist	06/2020	
